,TOPSIS 2018,TOPSIS 2019,TOPSIS 2020,DARIA-TOPSIS
Austria,11,10,11,11
Belgium,9,9,9,9
Bulgaria,27,27,28,28
Croatia,23,26,26,26
Cyprus,19,18,24,25
Czech Republic,14,14,14,14
Denmark,1,1,1,1
Estonia,12,11,12,12
Finland,6,5,5,5
France,13,12,10,10
Germany,7,6,6,6
Greece,26,28,27,27
Hungary,25,19,21,20
Ireland,8,8,8,8
Italy,21,21,19,19
Latvia,20,23,23,24
Lithuania,16,16,16,16
Luxembourg,5,7,7,7
Malta,10,13,15,15
Netherlands,4,3,2,2
Poland,22,22,18,18
Portugal,18,20,20,21
Romania,28,24,25,22
Slovakia,24,25,22,23
Slovenia,17,17,17,17
Spain,15,15,13,13
Sweden,2,2,3,3
United Kingdom,3,4,4,4
